pair_id,worker_1_id,worker_1_correct,worker_1_help,worker_2_id,worker_2_correct,worker_2_help,matching_seed
74,W1097,0,20,W0926,22,2,20260713
75,W0113,12,6,W0016,0,20,20260713
76,W0741,15,14,W1255,2,10,20260713
77,W0742,22,2,W0146,13,1,20260713
78,W0262,20,12,W1091,4,0,20260713
79,W0766,6,13,W0302,1,15,20260713
80,W1034,19,17,W0121,22,2,20260713
81,W0004,8,3,W1263,12,6,20260713
82,W0504,12,6,W0465,15,14,20260713
83,W0868,7,8,W0517,11,11,20260713
84,W0122,6,13,W0688,12,6,20260713
85,W0714,10,16,W1332,12,6,20260713
86,W0591,0,20,W0164,1,15,20260713
87,W1346,18,22,W0672,15,14,20260713
88,W0987,12,6,W0279,1,15,20260713
89,W1237,14,19,W0300,10,16,20260713
90,W0367,19,17,W0797,16,9,20260713
91,W0348,1,15,W1124,5,18,20260713
92,W0321,19,17,W0801,21,7,20260713
93,W0589,9,21,W1019,6,13,20260713
94,W0790,13,1,W0334,18,22,20260713
95,W0587,18,22,W0369,10,16,20260713
96,W0418,8,3,W1063,15,14,20260713
97,W0662,14,19,W0301,17,4,20260713
98,W1259,7,8,W0823,14,19,20260713
99,W1311,3,5,W0793,11,11,20260713
100,W0614,0,20,W0743,6,13,20260713
101,W0213,22,2,W0844,0,20,20260713
102,W0917,5,18,W0453,0,20,20260713
103,W0410,21,7,W0654,4,0,20260713
104,W0366,12,6,W0158,5,18,20260713
105,W1271,22,2,W0956,2,10,20260713
106,W0100,13,1,W0812,6,13,20260713
107,W1041,22,2,W0377,20,12,20260713
108,W1375,14,19,W1030,14,19,20260713
109,W0444,6,13,W0702,18,22,20260713
110,W1272,6,13,W0505,19,17,20260713
111,W0380,18,22,W0260,6,13,20260713
112,W1358,10,16,W0829,10,16,20260713
113,W0981,16,9,W0571,21,7,20260713
114,W0689,19,17,W0951,13,1,20260713
115,W0299,3,5,W1395,16,9,20260713
116,W0734,12,6,W1324,2,10,20260713
117,W0881,6,13,W0050,8,3,20260713
118,W0150,18,22,W1021,20,12,20260713
119,W0076,6,13,W0033,4,0,20260713
120,W0581,22,2,W0434,5,18,20260713
121,W0716,1,15,W1337,1,15,20260713
122,W0282,22,2,W0885,11,11,20260713
123,W1267,17,4,W1004,16,9,20260713
124,W0739,1,15,W1089,13,1,20260713
125,W0419,15,14,W1008,21,7,20260713
126,W0719,22,2,W0788,22,2,20260713
127,W0596,12,6,W0814,20,12,20260713
128,W0289,2,10,W1025,2,10,20260713
129,W0276,3,5,W0805,3,5,20260713
130,W0136,12,6,W0712,19,17,20260713
131,W0387,21,7,W0013,2,10,20260713
132,W0583,13,1,W0166,15,14,20260713
133,W0222,16,9,W1178,15,14,20260713
134,W1384,8,3,W0997,13,1,20260713
135,W0429,16,9,W1169,21,7,20260713
136,W1037,17,4,W1262,5,18,20260713
137,W0259,22,2,W0118,1,15,20260713
138,W0519,2,10,W0944,10,16,20260713
139,W1002,2,10,W0613,16,9,20260713
140,W0582,6,13,W1276,11,11,20260713
141,W0481,12,6,W0482,19,17,20260713
142,W0226,21,7,W0423,20,12,20260713
143,W0059,2,10,W1164,9,21,20260713
144,W0990,10,16,W0124,20,12,20260713
145,W0875,10,16,W1398,14,19,20260713
146,W1293,15,14,W0042,21,7,20260713
147,W0972,22,2,W0331,20,12,20260713
148,W1363,22,2,W0310,11,11,20260713
149,W0374,22,2,W0496,2,10,20260713
150,W0632,11,11,W1039,8,3,20260713
151,W0877,1,15,W0773,9,21,20260713
152,W1083,17,4,W1364,6,13,20260713
153,W0197,2,10,W0294,14,19,20260713
154,W1194,12,6,W1382,17,4,20260713
155,W0170,20,12,W0134,21,7,20260713
156,W0726,2,10,W0509,1,15,20260713
157,W0102,4,0,W0680,2,10,20260713
158,W0046,3,5,W1347,2,10,20260713
159,W0144,22,2,W1294,22,2,20260713
160,W0332,4,0,W0851,3,5,20260713
161,W0549,5,18,W0628,6,13,20260713
162,W0770,11,11,W0969,1,15,20260713
163,W1224,15,14,W1139,18,22,20260713
164,W0889,16,9,W0775,0,20,20260713
165,W0561,20,12,W0329,6,13,20260713
166,W1093,18,22,W0186,17,4,20260713
167,W0643,19,17,W1058,3,5,20260713
168,W0457,5,18,W0731,14,19,20260713
169,W0385,7,8,W0430,0,20,20260713
170,W1128,10,16,W1095,9,21,20260713
171,W0746,4,0,W0895,12,6,20260713
172,W0005,15,14,W0203,21,7,20260713
173,W0435,12,6,W0644,3,5,20260713
174,W0890,0,20,W0152,9,21,20260713
175,W1400,5,18,W1302,9,21,20260713
176,W1143,0,20,W0725,18,22,20260713
177,W1352,14,19,W0652,13,1,20260713
178,W1209,2,10,W0920,3,5,20260713
179,W0971,15,14,W1099,14,19,20260713
180,W0426,18,22,W0372,8,3,20260713
181,W1279,9,21,W0759,3,5,20260713
182,W0287,11,11,W0421,6,13,20260713
183,W0546,7,8,W1134,6,13,20260713
184,W0830,17,4,W1240,12,6,20260713
185,W0291,16,9,W0633,18,22,20260713
186,W0292,0,20,W0977,11,11,20260713
187,W0586,11,11,W0905,13,1,20260713
188,W1371,9,21,W0057,11,11,20260713
189,W0153,16,9,W1028,0,20,20260713
190,W0375,6,13,W0189,15,14,20260713
191,W0888,9,21,W1076,14,19,20260713
192,W0018,14,19,W0391,3,5,20260713
193,W0489,22,2,W1303,16,9,20260713
194,W0352,6,13,W1137,4,0,20260713
195,W1073,16,9,W0781,19,17,20260713
196,W0767,13,1,W0698,13,1,20260713
197,W0901,8,3,W0365,5,18,20260713
198,W0683,0,20,W1176,1,15,20260713
199,W1129,17,4,W0673,22,2,20260713
200,W1211,16,9,W0729,0,20,20260713
201,W1269,8,3,W1187,9,21,20260713
202,W0389,12,6,W0125,4,0,20260713
203,W0508,17,4,W1111,6,13,20260713
204,W1380,3,5,W0392,10,16,20260713
205,W0870,21,7,W0452,16,9,20260713
206,W0193,20,12,W0314,16,9,20260713
207,W0469,20,12,W0642,12,6,20260713
208,W1180,6,13,W1366,20,12,20260713
209,W0629,13,1,W1253,11,11,20260713
210,W0462,17,4,W0406,16,9,20260713
211,W1098,7,8,W0484,10,16,20260713
212,W0268,16,9,W0439,17,4,20260713
213,W0834,22,2,W1331,5,18,20260713
214,W1074,0,20,W0227,5,18,20260713
215,W0467,6,13,W0640,21,7,20260713
216,W0275,19,17,W0270,7,8,20260713
217,W0092,3,5,W0826,12,6,20260713
218,W0754,14,19,W1010,12,6,20260713
219,W0123,13,1,W0660,0,20,20260713
220,W0357,18,22,W1003,9,21,20260713
221,W0245,16,9,W1163,2,10,20260713
222,W1299,11,11,W0497,9,21,20260713
223,W1113,20,12,W0368,3,5,20260713
224,W1107,1,15,W1103,19,17,20260713
225,W0718,15,14,W0506,3,5,20260713
226,W0129,9,21,W1045,4,0,20260713
227,W0242,18,22,W0757,12,6,20260713
228,W0431,7,8,W0898,10,16,20260713
229,W1188,16,9,W0657,2,10,20260713
230,W0461,10,16,W0010,4,0,20260713
231,W1247,15,14,W1292,8,3,20260713
232,W0914,7,8,W0909,18,22,20260713
233,W1056,12,6,W1246,8,3,20260713
234,W0307,13,1,W1043,13,1,20260713
235,W0370,17,4,W0149,11,11,20260713
236,W0097,15,14,W0135,5,18,20260713
237,W1336,17,4,W0999,4,0,20260713
238,W0543,9,21,W0037,9,21,20260713
239,W0691,10,16,W0234,8,3,20260713
240,W0162,10,16,W1216,5,18,20260713
241,W0715,17,4,W0246,0,20,20260713
242,W0772,2,10,W0588,2,10,20260713
243,W1238,21,7,W1167,7,8,20260713
244,W0861,4,0,W0024,10,16,20260713
245,W1391,11,11,W0908,11,11,20260713
246,W1362,15,14,W1323,18,22,20260713
247,W1393,2,10,W0312,2,10,20260713
248,W0405,9,21,W0713,3,5,20260713
249,W0006,22,2,W0236,22,2,20260713
250,W0906,20,12,W0502,21,7,20260713
251,W1153,1,15,W0854,1,15,20260713
252,W1049,9,21,W0498,16,9,20260713
253,W0635,9,21,W1370,2,10,20260713
254,W0055,20,12,W0690,3,5,20260713
255,W0552,3,5,W0912,16,9,20260713
256,W0308,20,12,W1024,18,22,20260713
257,W1203,6,13,W1068,4,0,20260713
258,W0520,9,21,W0927,6,13,20260713
259,W1170,5,18,W1315,8,3,20260713
260,W0473,2,10,W1260,14,19,20260713
261,W0394,1,15,W1231,18,22,20260713
262,W0658,9,21,W0449,18,22,20260713
263,W0919,19,17,W0800,14,19,20260713
264,W0748,18,22,W1064,22,2,20260713
265,W1242,3,5,W0677,4,0,20260713
266,W1313,17,4,W0560,13,1,20260713
267,W0493,4,0,W0051,15,14,20260713
268,W0066,5,18,W0894,5,18,20260713
269,W0737,10,16,W0751,16,9,20260713
270,W0274,12,6,W0173,18,22,20260713
271,W0468,13,1,W0137,19,17,20260713
272,W0422,13,1,W0263,4,0,20260713
273,W0288,18,22,W0408,7,8,20260713
274,W0862,11,11,W0309,4,0,20260713
275,W1148,12,6,W0565,2,10,20260713
276,W0802,5,18,W0340,14,19,20260713
277,W0393,17,4,W1285,5,18,20260713
278,W0133,14,19,W0934,9,21,20260713
279,W0864,2,10,W1135,13,1,20260713
280,W0107,16,9,W0248,14,19,20260713
281,W1094,2,10,W0011,11,11,20260713
282,W0499,0,20,W0079,4,0,20260713
283,W1155,15,14,W1360,1,15,20260713
284,W0061,16,9,W0724,11,11,20260713
285,W0931,11,11,W1319,13,1,20260713
286,W1159,20,12,W0078,20,12,20260713
287,W1390,4,0,W0363,14,19,20260713
288,W1044,20,12,W0171,4,0,20260713
289,W0960,7,8,W0833,15,14,20260713
290,W0562,4,0,W1007,14,19,20260713
291,W0436,19,17,W1283,14,19,20260713
292,W1220,10,16,W1165,16,9,20260713
293,W0557,15,14,W0979,2,10,20260713
294,W0080,11,11,W0566,9,21,20260713
295,W1184,11,11,W1117,2,10,20260713
296,W0007,6,13,W0437,3,5,20260713
297,W0693,1,15,W0191,6,13,20260713
298,W0159,12,6,W0922,17,4,20260713
299,W0675,13,1,W1130,1,15,20260713
300,W1126,19,17,W0373,15,14,20260713
301,W0907,4,0,W0064,14,19,20260713
302,W1121,7,8,W0736,3,5,20260713
303,W0866,16,9,W0112,5,18,20260713
304,W0740,8,3,W0072,1,15,20260713
305,W0354,20,12,W0550,12,6,20260713
306,W0939,21,7,W0832,8,3,20260713
307,W0145,6,13,W0900,1,15,20260713
308,W0447,4,0,W0056,4,0,20260713
309,W1368,11,11,W1266,10,16,20260713
310,W0047,10,16,W1060,17,4,20260713
311,W0840,18,22,W0535,22,2,20260713
312,W0179,14,19,W0074,15,14,20260713
313,W0304,15,14,W1353,21,7,20260713
314,W0101,20,12,W0687,5,18,20260713
315,W0127,18,22,W0880,22,2,20260713
316,W1335,10,16,W0970,8,3,20260713
317,W0523,7,8,W1171,12,6,20260713
318,W0838,4,0,W0584,20,12,20260713
319,W1078,5,18,W1156,22,2,20260713
320,W1357,3,5,W0816,11,11,20260713
321,W0707,7,8,W0839,11,11,20260713
322,W0961,14,19,W1356,19,17,20260713
323,W0069,3,5,W1046,11,11,20260713
324,W0696,22,2,W0048,17,4,20260713
325,W1120,0,20,W0879,15,14,20260713
326,W1081,3,5,W1006,7,8,20260713
327,W0503,5,18,W0899,17,4,20260713
328,W0417,1,15,W0753,7,8,20260713
329,W0322,3,5,W0848,5,18,20260713
330,W0022,19,17,W1236,7,8,20260713
331,W0180,21,7,W0733,5,18,20260713
332,W0053,6,13,W0077,13,1,20260713
333,W0075,22,2,W0115,3,5,20260713
334,W1326,16,9,W0345,3,5,20260713
335,W0395,8,3,W1245,1,15,20260713
336,W0993,8,3,W1055,5,18,20260713
337,W0955,18,22,W0998,20,12,20260713
338,W0142,8,3,W0949,22,2,20260713
339,W0538,20,12,W0959,0,20,20260713
340,W0711,12,6,W1161,11,11,20260713
341,W1011,19,17,W1333,19,17,20260713
342,W0774,16,9,W1290,17,4,20260713
343,W0846,14,19,W1054,21,7,20260713
344,W0455,14,19,W0637,0,20,20260713
345,W0362,7,8,W1327,0,20,20260713
346,W0876,17,4,W0184,3,5,20260713
347,W0472,18,22,W0745,20,12,20260713
348,W1192,21,7,W0382,9,21,20260713
349,W0199,16,9,W0623,17,4,20260713
350,W0785,1,15,W0548,21,7,20260713
351,W0454,7,8,W1282,7,8,20260713
352,W0488,15,14,W1197,10,16,20260713
353,W0456,21,7,W0530,10,16,20260713
354,W0052,22,2,W0316,7,8,20260713
355,W0025,17,4,W0178,7,8,20260713
356,W0664,5,18,W1023,11,11,20260713
357,W0522,0,20,W0985,21,7,20260713
358,W0026,1,15,W0679,18,22,20260713
359,W0318,21,7,W0012,18,22,20260713
360,W0402,11,11,W0116,10,16,20260713
361,W0303,8,3,W0443,22,2,20260713
362,W1062,8,3,W1354,5,18,20260713
363,W1295,6,13,W0450,2,10,20260713
364,W1154,8,3,W0476,0,20,20260713
365,W1301,2,10,W1244,17,4,20260713
366,W0319,5,18,W0845,7,8,20260713
367,W0273,5,18,W0130,16,9,20260713
368,W0065,21,7,W0346,10,16,20260713
369,W1084,1,15,W0978,18,22,20260713
370,W1150,3,5,W1040,15,14,20260713
371,W0139,10,16,W0811,22,2,20260713
372,W0390,19,17,W1112,13,1,20260713
373,W0049,1,15,W0466,22,2,20260713
374,W0580,15,14,W1119,16,9,20260713
375,W0620,19,17,W0264,11,11,20260713
376,W1298,4,0,W0020,5,18,20260713
377,W0298,19,17,W1334,3,5,20260713
378,W1179,22,2,W1072,9,21,20260713
379,W0185,10,16,W0645,10,16,20260713
380,W0891,7,8,W0087,14,19,20260713
381,W1100,21,7,W0574,19,17,20260713
382,W0732,21,7,W0697,6,13,20260713
383,W0626,15,14,W0044,12,6,20260713
384,W0427,2,10,W0445,13,1,20260713
385,W0598,3,5,W0306,6,13,20260713
386,W0326,8,3,W0338,0,20,20260713
387,W1138,11,11,W1207,11,11,20260713
388,W0559,6,13,W0762,1,15,20260713
389,W0223,0,20,W0376,13,1,20260713
390,W1029,7,8,W0568,0,20,20260713
391,W1223,8,3,W0867,0,20,20260713
392,W0198,9,21,W1181,13,1,20260713
393,W1296,13,1,W0254,10,16,20260713
394,W0477,7,8,W0521,16,9,20260713
395,W1372,16,9,W0154,0,20,20260713
396,W0141,1,15,W0636,16,9,20260713
397,W0492,20,12,W0515,20,12,20260713
398,W0021,12,6,W1257,16,9,20260713
399,W0710,5,18,W1015,1,15,20260713
400,W1265,3,5,W0968,17,4,20260713
401,W1145,14,19,W0984,14,19,20260713
402,W0460,3,5,W0686,21,7,20260713
403,W0349,8,3,W0820,16,9,20260713
404,W0296,5,18,W1349,16,9,20260713
405,W1351,7,8,W0804,19,17,20260713
406,W0777,14,19,W0578,1,15,20260713
407,W0448,11,11,W0019,21,7,20260713
408,W0201,7,8,W1252,4,0,20260713
409,W1196,3,5,W0966,3,5,20260713
410,W0849,12,6,W0420,22,2,20260713
411,W0169,13,1,W1251,20,12,20260713
412,W0815,4,0,W0527,12,6,20260713
413,W0911,9,21,W0295,21,7,20260713
414,W0510,8,3,W0143,15,14,20260713
415,W1177,8,3,W0464,8,3,20260713
416,W0991,17,4,W0285,20,12,20260713
417,W0945,17,4,W1114,4,0,20260713
418,W0120,15,14,W0251,12,6,20260713
419,W0784,17,4,W0963,5,18,20260713
420,W1182,20,12,W0611,2,10,20260713
421,W0884,4,0,W1397,7,8,20260713
422,W0167,22,2,W1047,18,22,20260713
423,W0722,20,12,W1270,15,14,20260713
424,W0446,20,12,W0910,2,10,20260713
425,W0553,10,16,W0041,14,19,20260713
426,W1140,2,10,W0182,12,6,20260713
427,W1306,14,19,W0342,5,18,20260713
428,W0665,12,6,W1048,2,10,20260713
429,W0661,7,8,W0532,1,15,20260713
430,W0106,9,21,W0765,22,2,20260713
431,W1248,22,2,W1254,18,22,20260713
432,W1142,16,9,W1157,6,13,20260713
433,W0132,7,8,W0211,8,3,20260713
434,W0233,1,15,W1031,21,7,20260713
435,W0986,5,18,W0486,1,15,20260713
436,W0842,9,21,W0054,13,1,20260713
437,W1307,21,7,W0224,7,8,20260713
438,W0082,2,10,W0386,14,19,20260713
439,W0067,12,6,W0249,21,7,20260713
440,W0779,5,18,W0602,8,3,20260713
441,W0514,13,1,W0610,18,22,20260713
442,W0572,5,18,W0796,9,21,20260713
443,W0161,3,5,W1162,18,22,20260713
444,W1012,3,5,W0529,3,5,20260713
445,W0157,21,7,W0479,21,7,20260713
446,W0918,12,6,W0196,18,22,20260713
447,W0119,8,3,W0887,2,10,20260713
448,W1312,10,16,W0414,3,5,20260713
449,W1212,0,20,W1235,0,20,20260713
450,W0250,5,18,W0415,10,16,20260713
451,W0847,21,7,W0228,12,6,20260713
452,W0093,10,16,W1320,20,12,20260713
453,W0624,1,15,W0060,9,21,20260713
454,W0459,19,17,W0828,3,5,20260713
455,W1033,12,6,W0378,4,0,20260713
456,W0988,19,17,W0948,15,14,20260713
457,W0634,2,10,W1036,10,16,20260713
458,W0032,20,12,W1355,12,6,20260713
459,W0855,8,3,W0192,13,1,20260713
460,W0001,10,16,W0474,9,21,20260713
461,W0569,7,8,W0883,20,12,20260713
462,W0616,14,19,W0269,0,20,20260713
463,W0558,22,2,W0036,2,10,20260713
464,W1228,20,12,W0160,19,17,20260713
465,W0825,5,18,W1186,2,10,20260713
466,W1158,13,1,W0416,17,4,20260713
467,W0809,8,3,W0615,7,8,20260713
468,W0034,11,11,W0533,8,3,20260713
469,W0706,0,20,W1274,20,12,20260713
470,W0320,12,6,W1185,18,22,20260713
471,W1392,18,22,W0818,2,10,20260713
472,W0283,6,13,W0827,19,17,20260713
473,W0874,3,5,W0921,10,16,20260713
474,W1118,9,21,W0083,9,21,20260713
475,W0836,13,1,W0071,17,4,20260713
476,W0209,17,4,W1061,1,15,20260713
477,W0212,15,14,W0458,12,6,20260713
478,W1077,21,7,W0778,21,7,20260713
479,W0330,13,1,W0317,14,19,20260713
480,W0239,20,12,W0857,22,2,20260713
481,W0617,21,7,W0062,0,20,20260713
482,W0794,18,22,W0670,1,15,20260713
483,W0967,10,16,W0735,19,17,20260713
484,W0841,2,10,W0480,5,18,20260713
485,W0975,20,12,W1210,9,21,20260713
486,W0942,19,17,W0612,9,21,20260713
487,W1314,1,15,W0237,6,13,20260713
488,W1342,13,1,W0782,3,5,20260713
489,W1309,12,6,W0738,17,4,20260713
490,W0364,21,7,W1385,15,14,20260713
491,W1022,4,0,W1280,16,9,20260713
492,W0913,0,20,W0086,7,8,20260713
493,W0764,15,14,W0699,20,12,20260713
494,W0425,11,11,W0853,17,4,20260713
495,W1005,0,20,W0856,15,14,20260713
496,W1329,14,19,W0694,8,3,20260713
497,W0822,7,8,W0487,8,3,20260713
498,W0200,0,20,W0043,5,18,20260713
499,W0438,10,16,W0597,19,17,20260713
500,W0073,8,3,W1027,16,9,20260713
501,W0463,1,15,W0172,11,11,20260713
502,W0017,7,8,W0946,1,15,20260713
503,W0220,2,10,W0873,19,17,20260713
504,W1399,21,7,W0786,8,3,20260713
505,W0311,18,22,W0174,2,10,20260713
506,W1273,13,1,W0649,15,14,20260713
507,W0685,14,19,W0328,22,2,20260713
508,W1226,6,13,W0897,3,5,20260713
509,W0277,10,16,W0892,14,19,20260713
510,W0761,17,4,W0599,10,16,20260713
511,W0163,17,4,W1284,21,7,20260713
512,W0038,16,9,W0684,7,8,20260713
513,W0451,9,21,W0780,12,6,20260713
514,W1215,21,7,W1059,10,16,20260713
515,W0585,4,0,W0232,17,4,20260713
516,W0669,17,4,W1343,20,12,20260713
517,W0536,6,13,W1316,15,14,20260713
518,W1132,15,14,W0807,17,4,20260713
519,W0195,11,11,W0252,19,17,20260713
520,W1264,19,17,W0681,9,21,20260713
521,W0094,17,4,W1241,19,17,20260713
522,W0953,4,0,W0202,14,19,20260713
523,W1365,13,1,W0821,0,20,20260713
524,W1017,15,14,W0638,7,8,20260713
525,W0433,21,7,W1348,9,21,20260713
526,W1219,3,5,W1206,4,0,20260713
527,W0819,9,21,W1079,12,6,20260713
528,W1152,17,4,W0084,16,9,20260713
529,W0871,5,18,W1201,15,14,20260713
530,W0776,7,8,W1183,4,0,20260713
531,W0014,9,21,W0925,15,14,20260713
532,W0618,5,18,W0104,18,22,20260713
533,W0787,15,14,W0863,18,22,20260713
534,W0930,4,0,W0923,1,15,20260713
535,W0442,15,14,W0400,20,12,20260713
536,W0284,13,1,W0534,15,14,20260713
537,W0267,9,21,W1317,22,2,20260713
538,W0705,16,9,W0428,9,21,20260713
539,W0579,8,3,W0744,13,1,20260713
540,W0674,6,13,W0324,17,4,20260713
541,W1234,16,9,W1389,20,12,20260713
542,W1149,19,17,W0470,4,0,20260713
543,W0206,19,17,W0045,19,17,20260713
544,W1288,3,5,W0798,0,20,20260713
545,W0188,8,3,W0928,13,1,20260713
546,W1287,19,17,W1131,8,3,20260713
547,W0383,16,9,W0085,0,20,20260713
548,W1086,15,14,W0915,14,19,20260713
549,W0933,2,10,W0843,16,9,20260713
550,W1218,19,17,W0110,14,19,20260713
551,W0872,12,6,W0653,20,12,20260713
552,W0655,11,11,W0023,3,5,20260713
553,W0607,20,12,W0105,2,10,20260713
554,W0088,21,7,W0750,9,21,20260713
555,W1202,22,2,W0728,16,9,20260713
556,W1377,5,18,W1051,0,20,20260713
557,W1227,13,1,W0399,13,1,20260713
558,W0625,8,3,W1065,6,13,20260713
559,W0878,8,3,W0996,6,13,20260713
560,W1106,17,4,W0932,18,22,20260713
561,W0952,20,12,W0795,2,10,20260713
562,W1009,5,18,W0806,10,16,20260713
563,W0667,3,5,W0882,13,1,20260713
564,W1359,17,4,W0058,18,22,20260713
565,W0039,0,20,W0002,17,4,20260713
566,W1275,4,0,W0081,18,22,20260713
567,W1166,0,20,W1291,1,15,20260713
568,W0860,20,12,W1172,19,17,20260713
569,W0207,3,5,W1222,1,15,20260713
570,W1338,8,3,W1080,19,17,20260713
571,W0261,13,1,W1308,5,18,20260713
572,W0266,2,10,W0924,8,3,20260713
573,W0937,7,8,W0526,5,18,20260713
574,W0272,21,7,W1141,9,21,20260713
575,W0789,6,13,W0539,4,0,20260713
576,W0950,6,13,W0525,21,7,20260713
577,W0117,17,4,W0700,4,0,20260713
578,W0573,12,6,W0708,14,19,20260713
579,W0286,4,0,W1386,22,2,20260713
580,W0495,18,22,W1016,8,3,20260713
581,W0478,14,19,W0028,15,14,20260713
582,W0175,9,21,W1050,16,9,20260713
583,W0015,16,9,W0315,0,20,20260713
584,W0168,6,13,W0600,17,4,20260713
585,W0768,20,12,W0799,7,8,20260713
586,W0111,21,7,W1277,18,22,20260713
587,W1092,11,11,W1057,19,17,20260713
588,W0238,13,1,W0350,15,14,20260713
589,W0989,3,5,W0313,9,21,20260713
590,W0271,14,19,W0646,17,4,20260713
591,W0692,17,4,W0278,17,4,20260713
592,W0886,18,22,W0524,14,19,20260713
593,W1256,9,21,W1127,3,5,20260713
594,W0747,11,11,W0893,21,7,20260713
595,W0528,19,17,W0404,2,10,20260713
596,W0485,17,4,W0424,4,0,20260713
597,W0563,11,11,W1018,22,2,20260713
598,W1268,1,15,W0902,15,14,20260713
599,W0756,5,18,W1286,12,6,20260713
600,W1388,13,1,W0666,19,17,20260713
601,W0639,14,19,W0483,3,5,20260713
602,W1173,3,5,W1122,14,19,20260713
603,W0621,3,5,W1328,7,8,20260713
604,W1116,18,22,W1376,21,7,20260713
605,W0695,15,14,W1341,6,13,20260713
606,W0576,10,16,W0440,1,15,20260713
607,W0965,19,17,W0379,11,11,20260713
608,W0824,21,7,W0668,10,16,20260713
609,W1198,17,4,W0936,0,20,20260713
610,W1304,0,20,W0771,18,22,20260713
611,W1378,12,6,W0471,11,11,20260713
612,W1066,13,1,W0813,13,1,20260713
613,W0544,16,9,W1133,22,2,20260713
614,W0831,1,15,W0556,8,3,20260713
615,W0590,16,9,W0165,8,3,20260713
616,W1110,22,2,W0641,5,18,20260713
617,W0501,14,19,W0204,5,18,20260713
618,W1014,17,4,W1105,10,16,20260713
619,W0035,18,22,W1190,7,8,20260713
620,W1261,21,7,W0327,15,14,20260713
621,W0983,7,8,W0865,9,21,20260713
622,W0027,8,3,W1108,8,3,20260713
623,W0265,18,22,W0063,7,8,20260713
624,W0570,14,19,W0359,9,21,20260713
625,W0009,20,12,W0763,8,3,20260713
626,W0903,22,2,W0752,0,20,20260713
627,W1381,10,16,W1144,7,8,20260713
628,W0964,12,6,W1310,19,17,20260713
629,W0108,0,20,W0221,9,21,20260713
630,W0792,4,0,W0518,18,22,20260713
631,W0650,22,2,W0409,14,19,20260713
